STRING ID,en,de,fr,es,it
INTRANET_BEITRAG_16,The US president has his own zip code.,Der US-Präsident hat eine eigene Postleitzahl.,,,
INTRANET_BEITRAG_17,It takes an average of 7 minutes to queue at a supermarket checkout in Germany.,An einer Supermarktkasse steht man in Deutschland im Schnitt 7 Minuten.,,,
INTRANET_BEITRAG_18,Horses can't throw up.,Pferde können gar nicht kotzen.,,,
INTRANET_BEITRAG_19,4.3 million Germans drink alcohol at work.,"4,3 Millionen Deutsche trinken Alkohol am Arbeitsplatz.",,,
INTRANET_BEITRAG_20,"The hairstyle ""VoKuHila"" was already worn in early Mesopotamian cultures.",Die Frisur „VoKuHila“ wurde schon in frühen Kulturen Mesopotamiens getragen.,,,
INTRANET_BEITRAG_21,"In Maryland, it is illegal to take a lion to the movies.","In Maryland ist es verboten, einen Löwen mit ins Kino zu nehmen.",,,
INTRANET_BEITRAG_22,Harry S. Truman had no middle name at all.,Harry S. Truman hatte gar keinen zweiten Vornamen.,,,
INTRANET_BEITRAG_23,"The British Labor Party sings its party anthem to the tune of ""O Tannenbaum"".",Die britische Labour Party singt ihre Parteihymne zur Melodie von „O Tannenbaum“.,,,
INTRANET_BEITRAG_24,"The criminal offense of ""insulting a civil servant"" does not even exist in the Criminal Code.",Den Straftatbestand „Beamtenbeleidigung“ gibt es im Strafgesetzbuch gar nicht.,,,
INTRANET_BEITRAG_25,Konrad Adenauer invented a battery-operated stuffed egg with interior lighting.,Konrad Adenauer hat ein batteriebetriebenes Stopfei mit Innenbeleuchtung erfunden.,,,
INTRANET_BEITRAG_26,Alcohol may not be sold on election days in Norway.,An Wahltagen darf in Norwegen kein Alkohol verkauft werden.,,,
INTRANET_BEITRAG_27,At the center of our galaxy (Milky Way) there is said to be a supermassive black hole - it is called Sagittarius A* (Sgr A*) and has a mass 4 million times the size of the sun.,"Im Zentrum unserer Galaxie (Milchstraße) soll sich ein supermassereiches Schwarzes Loch befinden – es trägt den Namen Sagittarius A* (Sgr A*) und umfasst eine Masse, die 4 Millionen Mal so groß ist wie die Sonne.",,,
INTRANET_BEITRAG_28,"As things stand, it would take a modern spaceship around 450 million years to reach the center of our galaxy.","Nach aktuellem Stand würde ein modernes Raumschiff etwa 450 Millionen Jahre brauchen, um zum Zentrum unserer Galaxie zu kommen.",,,
INTRANET_BEITRAG_29,Venus is the hottest planet with a temperature of 430 degrees Celsius.,Venus ist der heißeste Planet mit einer Temperatur von 430 Grad Celsius.,,,
INTRANET_BEITRAG_30,Gray whales only mate in threes.,Grauwale paaren sich ausschließlich zu dritt.,,,
INTRANET_BEITRAG_31,Corals are so chemically similar to human bone that they are already being used to treat bone fractures.,"Korallen sind dem menschlichen Knochen chemisch so ähnlich, dass sie bereits zur Behandlung von Knochenbrüchen eingesetzt werden.",,,
INTRANET_BEITRAG_32,Michael Jackson negotiated the purchase of Marvel.,Michael Jackson verhandelte über den Kauf von Marvel.,,,
INTRANET_BEITRAG_33,Most suicides occur on Mondays.,Montags geschehen die meisten Selbstmorde.,,,
INTRANET_BEITRAG_34,The oldest surviving bar in Ireland was opened 900 years before Christ.,Die älteste noch bestehende Bar in Irland wurde nachweislich 900 Jahre vor Christus eröffnet.,,,
INTRANET_BEITRAG_35,"Statistically, most cars are stolen on New Year's Day.",Statistisch gesehen werden die meisten Autos an Neujahr gestohlen.,,,
INTRANET_BEITRAG_36,"One kilogram of muscle mass consumes 36,000 calories per year.",Ein Kilogramm Muskelmasse verbraucht pro Jahr 36.000 Kalorien.,,,
INTRANET_BEITRAG_37,"On average, a person laughs ten times a day.",Im Durchschnitt lacht ein Mensch zehn Mal am Tag.,,,
INTRANET_BEITRAG_38,Designer Ko Yang has developed a milk carton that changes color as soon as the milk it contains goes bad.,"Der Designer Ko Yang hat eine Milchverpackung entwickelt, die ihre Farbe verändert sobald die enthaltene Milch schlecht geworden ist.",,,
INTRANET_BEITRAG_39,More people die every year from champagne corks than from the bite of a poisonous spider.,Pro Jahr sterben mehr Menschen durch Sektkorken als durch den Biss einer giftigen Spinne.,,,
INTRANET_BEITRAG_40,Most broken bones occur in the collarbone.,Die meisten Knochenbrüche geschehen im Schlüsselbein.,,,
INTRANET_BEITRAG_41,New York City is further south than Rome.,New York City liegt südlicher als Rom.,,,
INTRANET_BEITRAG_42,"In 2006, scientists officially determined that the egg, not the chicken, must have come first.","Im Jahr 2006 wurde von Wissenschaftlern offiziell festgelegt, dass das Ei und nicht das Huhn zuerst dagewesen sein muss.",,,
INTRANET_BEITRAG_43,"In 1893, a request was made in the USA to change the name of the country to ""The United States of the Earth"".","Im Jahr 1893 wurde in den USA der Antrag gestellt, den Namen des Landes in „The United States of the Earth“ zu ändern.",,,
INTRANET_BEITRAG_44,"Like humans, ducks also have different accents.",Wie der Mensch haben auch Enten unterschiedliche Akzente.,,,
INTRANET_BEITRAG_45,"Colgate translates into Spanish as ""hang yourself"".",„Colgate“ heißt ins Spanische übersetzt „Häng dich auf“.,,,
INTRANET_BEITRAG_46,The full name of Mr. Burns from The Simpsons is Charles Montgomery Plantagenet Schicklgruber Burns.,Der vollständige Name von Mr. Burns aus den Simpsons ist Charles Montgomery Plantagenet Schicklgruber Burns.,,,
INTRANET_BEITRAG_47,"In 2005, Mark Zuckerberg offered Facebook to MySpace for 75 million dollars. However, the CEO of MySpace - Chris DeWolfe - declined.",Im Jahr 2005 bot Mark Zuckerberg Facebook für 75 Millionen Dollar an MySpace an. Der CEO von MySpace – Chris DeWolfe – lehnte jedoch ab.,,,
INTRANET_BEITRAG_48,Clouds fly higher during the day than at night.,Tagsüber fliegen Wolken höher als in der Nacht.,,,
INTRANET_BEITRAG_49,Most people are born in August.,Die meisten Menschen werden im August geboren.,,,
INTRANET_BEITRAG_50,"There are no ants in Iceland, Greenland or Antarctica.","Auf Island, Grönland und in der Antarktis gibt es keine Ameisen.",,,
INTRANET_BEITRAG_51,One gram of DNA contains about as much information as 600 billion traditional CDs,Ein Gramm DNA besitzt ungefähr genauso viele Informationen wie 600 Milliarden traditionelle CDs,,,
INTRANET_BEITRAG_52,The shortest commercial flight takes just 47 seconds and takes people in Scotland from the island of Westray to the other island of Papa Westray.,Die kürzeste kommerzielle Flugstrecke dauert gerade einmal 47 Sekunden und bringt die Menschen in Schottland von der Insel Westray auf die andere Insel Papa Westray.,,,
INTRANET_BEITRAG_53,Nothing is a place in the US state of Arizona. There is nothing there except a gas station and a garage.,Nothing ist ein Ort im US-Bundesstaat Arizona. Dort ist nichts außer einer Tankstelle und einer Garage.,,,
INTRANET_BEITRAG_54,Medical Students Disease describes a phenomenon in which medical students believe they are suffering from the disease they have just learned about during their studies.,"„Medical Students Disease“ beschreibt ein Phänomen, bei dem Medizinstudenten glauben, an der Krankheit zu leiden, die sie gerade im Studium gelernt haben.",,,
INTRANET_BEITRAG_55,Very few people are born in February.,Die wenigsten Menschen werden im Februar geboren.,,,
INTRANET_BEITRAG_56,Adolf Hitler was nominated for the Nobel Peace Prize in 1939.,Adolf Hitler wurde 1939 für den Friedensnobelpreis vorgeschlagen.,,,
INTRANET_BEITRAG_57,"People are only 0.1 percent different from each other due to their DNA. By comparison, a chimpanzee differs from a human by 1.2 percent.","Menschen unterscheiden sich aufgrund ihrer DNS lediglich zu 0,1 Prozent voneinander. Ein Schimpanse unterscheidet sich zum Vergleich um 1,2 Prozent vom Menschen.",,,
INTRANET_BEITRAG_58,The human circadian rhythm is better suited to life on Mars than to life on Earth.,Der menschliche Tagesrhythmus passt besser zum Leben auf dem Mars als zum Leben auf der Erde.,,,
INTRANET_BEITRAG_59,The national animal of Scotland is the unicorn.,Das Nationaltier von Schottland ist das Einhorn.,,,
INTRANET_BEITRAG_60,Panama is the only place in the world where the sun rises in the Pacific Ocean and sets in the Atlantic Ocean.,"Panama ist der einzige Ort auf der Welt, bei dem die Sonne im Pazifischen Ozean aufgeht und im Atlantischen Ozean untergeht.",,,
INTRANET_BEITRAG_61,A study has shown that people with a low IQ are more likely to be racist and homophobic than people with a higher IQ.,"Eine Studie hat ergeben, dass Menschen mit geringem IQ häufiger rassistisch und homophob sind als Menschen mit einem höheren IQ.",,,
INTRANET_BEITRAG_62,Koalas hug trees to cool off on hot days.," Koalas umarmen Bäume, um an heißen Tagen abzukühlen.",,,
INTRANET_BEITRAG_63,"In 2011, scientists dropped 100 paper airplanes from a height of 37 kilometers over Germany. Some of them were found in Canada, the USA, Australia and South America.","Im Jahr 2011 ließen Wissenschaftler 100 Papierflieger aus 37 Kilometern Höhe über Deutschland abwerfen. Einige davon wurden in Kanada, den USA, Australien und Südamerika gefunden.",,,
INTRANET_BEITRAG_64,"When the first railroads went into operation, doctors warned of possible damage to health, for example to the brain, due to the high speed of 30 kilometers per hour.","Als die ersten Eisenbahnen ihren Betrieb aufnahmen, warnten Ärzte aufgrund der hohen Geschwindigkeit von 30 Kilometern pro Stunde vor möglichen Gesundheitsschäden, beispielsweise am Gehirn.",,,
INTRANET_BEITRAG_65,"According to a 2008 survey, a total of 58 percent of British young people believed that Sherlock Holmes was a real person.","Nach einer Umfrage von 2008 waren insgesamt 58 Prozent der britischen Jugendlichen der Meinung, dass Sherlock Holmes eine real existierende Person war.",,,
INTRANET_BEITRAG_66,The two most common reasons for people being in a bad mood are too little sleep or hunger.,Die zwei häufigsten Gründe für schlechte Laune bei Menschen sind zu wenig Schlaf oder Hunger.,,,
INTRANET_BEITRAG_67,"In German universities, books with a legal focus are the most frequently stolen. Books with a theological background are the second most frequently stolen.",In deutschen Universitäten werden Bücher mit juristischem Schwerpunkt am häufigsten gestohlen. Am zweithäufigsten erwischt es Bücher mit theologischem Hintergrund.,,,
INTRANET_BEITRAG_68,"When Google went down for five minutes in 2013, global internet traffic fell by 40 percent.","Als Google 2013 für fünf Minuten ausfiel, verringerte sich der weltweite Internet-Traffic um 40 Prozent.",,,
INTRANET_BEITRAG_69,Women wink more often than men.,Frauen zwinkern häufiger als Männer.,,,
INTRANET_BEITRAG_70,"In Cambodia, there are pizzas with marijuana toppings. They are called ""happy pizza"" there.",In Kambodscha gibt es Pizzen mit Marihuana-Belag. Man nennt sie dort „Happy-Pizza“.,,,
INTRANET_BEITRAG_71,Ransom payments to kidnappers are tax-deductible in Germany.,Lösegeldzahlungen an Entführer sind in Deutschland steuerlich absetzbar.,,,
INTRANET_BEITRAG_72,The Scottish kilt originally comes from France.,Der schottische Kilt kommt ursprünglich aus Frankreich.,,,
INTRANET_BEITRAG_73,"At Starbucks, ""laughing"" is part of the job description.",Bei Starbucks ist „Lachen“ ein Teil der Jobbeschreibung.,,,
INTRANET_BEITRAG_74,"With tears of joy, the first tear usually comes from the right eye, while tears of sadness tend to come from the left eye first.","Bei Freudentränen kommt die erste Träne meist aus dem rechten Auge, während Tränen der Trauer eher zuerst aus dem linken Auge kommen.",,,
INTRANET_BEITRAG_75,The average price of a liter of black printer ink is higher than that of a liter of human blood.,Der durchschnittliche Preis für einen Liter schwarzer Druckerfarbe ist höher als der für einen Liter menschlichen Blutes.,,,
INTRANET_BEITRAG_76,The first computer mouse was developed by Doug Engelbart. This was in 1964 and the mouse was made of wood.,Die erste Computermaus hat Doug Engelbart entwickelt. Das war im Jahr 1964 und hergestellt wurde die Maus aus Holz.,,,
INTRANET_BEITRAG_77,"The first hard disk was produced in 1979 and had a capacity of no less than 5MB. And yes, that was indeed quite a lot of storage space back then.","Die erste Festplatte gab es im Jahr 1979. Die Kapazität der Platte betrug sage und schreibe 5MB. Und ja, das war damals in der Tat relativ viel Speicherplatz.",,,
INTRANET_BEITRAG_78,"Incidentally, the first computer was developed by Konrad Zuse in 1936. It was called the Z1. Its successor, the Z2, was completed in 1939 and was the first fully functional electro-mechanical computer.",Der erste Computer wurde übrigens von Konrad Zuse im Jahr 1936 entwickelt. Genannt wurde er Z1. Der Nachfolger Z2 wurde 1939 fertiggestellt und war der erste voll funktionsfähige elektro-mechanische Computer.,,,
INTRANET_BEITRAG_79,"Does using a computer have an effect on the body? Yes, at least as far as blinking is concerned. The average computer user blinks 7 times a minute. Normal would be 20 blinks per minute.",Hat die Benutzung eines Computers Auswirkungen auf den Körper? Zumindest was das Blinzeln angeht ja. Denn ein durschnittlicher Computernutzer blinzelt 7 mal pro Minute. Normal wären 20 mal blinzeln in der der Minute.,,,
INTRANET_BEITRAG_80,"The worst ""break-in"" into a US military computer system happened when someone found a USB stick (infected by another secret service) in the parking lot and had nothing else to do but plug it into a computer that was networked with the United States Central Command.","Der schlimmste „Einbruch“ in ein Computer System des US Militärs passierte dadurch, dass jemand einen (durch einen anderen Geheimdienst infizierten) USB Stick auf dem Parkplatz gefunden hat und nichts anderes zu tun hatte als diesen in einen Computer zu stecken, der mit dem United States Central Command vernetzt war.",,,
INTRANET_BEITRAG_81,The ENIAC was the first electronic computer and weighed no less than 27 tons.,Der ENIAC war der erste elektronische Computer und wog sage und schreibe 27 Tonnen.,,,
INTRANET_BEITRAG_82,A computer that is even remotely as powerful as a human brain would have to be able to perform 38 thousand trillion operations per second and have a working memory of 3500 terabytes.,"Ein Computer der auch nur annäherend so leistungsfähig wie ein menschliches Gehirn wäre, müsste in der Lage sein 38 Tausend Trillionen Operationen pro Sekunde durchzuführen und müsste einen Arbeitsspeicher von 3500 Terrabyte besitzen.",,,
INTRANET_BEITRAG_83,"Every month, around 5000 new computer viruses come onto the market.",Jeden Monat kommen ungefähr 5000 neue Computer Viren „auf den Markt“.,,,
INTRANET_BEITRAG_84,"HP, Microsoft and Apple have one very interesting thing in common. Each of these companies started out very small in a garage.","HP, Microsoft und Apple haben eine sehr interessente Sache gemeinsam. Jedes dieser Unternehmen hat einmal ganz klein in einer Garage angefangen.",,,
INTRANET_BEITRAG_85,80% of the emails that are sent every day are spam.,"80% der Emails, die täglich versendet werden, sind Spam.",,,
INTRANET_BEITRAG_86,"The demonstration of the Genesis projectile in ""Star Trek - The Wrath of Kahn"" was the first completely computer-generated film sequence in the history of cinema. The group that created the sequence later became Pixar.","Die Demonstration des Genesis-Projektils in „Star Trek – Der Zorn des Kahn“ war die erste komplett computergenerierte Filmsequenz in der Geschichte des Kinos. Aus der Gruppe, die die Sequenz erstellte, wurde später Pixar.",,,
INTRANET_BEITRAG_87,"The IBM 5120 was the heaviest desktop PC ever produced. It weighed around 48 kg. Then there was the external floppy disk drive, which weighed another 58 kg. You definitely needed a sturdy desk.","Der IBM 5120 war der schwerste je hergestellte Desktop PC. Er wog rund 48kg. Hinzu kam dann noch das externe Disketten Laufwerk, welches noch mal 58 kg auf die Waage brachte. Da brauchte man auf alle Fälle einen stabilen Schreibtisch.",,,
INTRANET_BEITRAG_88,"""Newsreaders always start with 'Good evening' and then take 15 minutes to explain that it's not a good evening."" - Rudi Carrell","""Nachrichtensprecher fangen stets mit 'Guten Abend' an und brauchen dann 15 Minuten, um zu erklären, dass es kein guter Abend ist."" - Rudi Carrell",,,
INTRANET_BEITRAG_89,"""For the believer, God is at the beginning, for the scientist at the end of all his considerations."" - Max Planck","""Für den gläubigen Menschen steht Gott am Anfang, für den Wissenschaftler am Ende aller seiner Überlegungen.""  - Max Planck",,,
INTRANET_BEITRAG_90,"""Some roosters believe that the sun rises because of them."" - Theodor Fontane","""Manche Hähne glauben, dass die Sonne ihretwegen aufgeht."" - Theodor Fontane",,,
INTRANET_BEITRAG_91,"""What makes us tired is the work we leave undone, not the work we do."" - Marie von Ebner-Eschenbach","""Müde macht uns die Arbeit, die wir liegenlassen, nicht die, die wir tun."" - Marie von Ebner-Eschenbach",,,
INTRANET_BEITRAG_92,"""God created man because he was disappointed with the monkey. After that, he refrained from further experiments.""  - Mark Twain","""Gott hat den Menschen erschaffen, weil er vom Affen enttäuscht war. Danach hat er auf weitere Experimente verzichtet."" - Mark Twain",,,
INTRANET_BEITRAG_93,"""You may forget where you buried the peace pipe. But you never forget where the hatchet is."" - Mark Twain","""Man vergisst vielleicht, wo man die Friedenspfeife vergraben hat. Aber man vergisst niemals, wo das Beil liegt."" - Mark Twain",,,
INTRANET_BEITRAG_94,"""You have to know the facts before you can twist them."" - Mark Twain","""Tatsachen muss man kennen, bevor man sie verdrehen kann."" - Mark Twain",,,
INTRANET_BEITRAG_95,"""Happiness often comes from paying attention to small things, unhappiness often comes from neglecting small things."" - Wilhelm Busch","""Glück entsteht oft durch Aufmerksamkeit in kleinen Dingen, Unglück oft durch Vernachlässigung kleiner Dinge."" - Wilhelm Busch",,,
INTRANET_BEITRAG_96,"""Age does not protect against love, but love protects against ageing."" - Coco Chanel","“Alter schützt vor Liebe nicht, aber Liebe vor dem Altern.” - Coco Chanel",,,
INTRANET_BEITRAG_97,"""I drink to make other people more interesting."" - Ernest Hemingway","""Ich trinke, um andere Menschen interessanter zu machen.“ - Ernest Hemingway",,,
INTRANET_BEITRAG_98,"""Life would be tragic if it weren't funny."" - Stephen Hawking","""Das Leben wäre tragisch, wenn es nicht lustig wäre.“ - Stephen Hawking",,,
INTRANET_BEITRAG_99,Einstein believed that humanity would only survive for four years after the extinction of bees.,"Einstein glaubte, dass die Menschheit nach einem Aussterben der Bienen nur noch vier Jahre überleben würde.",,,
INTRANET_BEITRAG_100,The urine of the Asian tanuki smells like popcorn.,Der Urin des asiatischen Marderbären riecht nach Popcorn.,,,
INTRANET_BEITRAG_101,"A Pinocchio paradox occurs when Pinocchio says ""My nose is growing"" and is an example of the more general liar paradox.","Ein Pinocchio-Paradoxon entsteht, wenn Pinocchio sagt „Meine Nase wächst gerade“ und ist ein Beispiel für das allgemeinere Lügner-Paradoxon.",,,
INTRANET_BEITRAG_102,The scientist Charles Darwin married his own cousin in 1839.,Der Wissenschaftler Charles Darwin heiratete 1839 seine eigene Cousine.,,,
INTRANET_BEITRAG_103,Hippos can sleep underwater.,Nilpferde können unter Wasser schlafen.,,,
INTRANET_BEITRAG_104,Philip Noel-Baker is the only person to date to win both an Olympic medal and a Nobel Prize.,"Philip Noel-Baker ist bisher der einzige Mensch, der sowohl eine olympische Medaille als auch einen Nobelpreis gewann.",,,
INTRANET_BEITRAG_105,Transplanted testicles continue to produce the donor's sperm.,Transplantierte Hoden produzieren weiterhin das Sperma des Spenders.,,,
INTRANET_BEITRAG_106,The Queen guitarist has a doctorate in astrophysics.,Der Gitarrist von Queen ist promovierter Astrophysiker.,,,
INTRANET_BEITRAG_107,Uranus is 63 times the size of the Earth.,Der Uranus ist 63 Mal so groß wie die Erde.,,,
INTRANET_BEITRAG_108,Sleep researchers have confirmed that women need more sleep than men and are more likely to suffer health problems if they get too little sleep.,"Schlafforscher konnten bestätigen, dass Frauen mehr Schlaf als Männer benötigen und eher gesundheitliche Schäden davontragen, wenn sie zu wenig Schlaf bekommen.",,,
INTRANET_BEITRAG_109,Approximately eight percent of human DNA can be traced back to the DNA of viruses that infected humans thousands of years ago.,"Ungefähr acht Prozent der menschlichen DNA ist auf die DNA von Viren zurückzuführen, die den Menschen damit vor Jahrtausenden infiziert haben.",,,
INTRANET_BEITRAG_110,"The world's first cell phone call was made on January 1, 1985.",Am 1. Januar 1985 wurde das erste Handy-Gespräch der Welt geführt.,,,
